name,handedness,height,weight,avg,HR,BMI
Scot Thompson,L,75,195,0.262,5,24.37
Gene Locklear,L,70,165,0.274,9,23.67
Bo Diaz,R,71,185,0.255,87,25.80
Bump Wills,B,69,172,0.266,36,25.40
Brian Denman,R,76,205,0,0,24.95
Pat Putnam,L,72,205,0.255,63,27.80
Kurt Bevacqua,R,72,180,0.236,27,24.41
Bob Fallon,L,75,200,0,0,25.00
Syd O'Brien,R,73,185,0.23,24,24.41
Chris Chambliss,L,73,195,0.279,185,25.72
Tom Satriano,L,73,185,0.225,21,24.41
Jeffrey Leonard,R,74,200,0.266,144,25.68
Dal Maxvill,R,71,157,0.217,6,21.89
Steve Curry,R,78,217,0,0,25.07
Cesar Tovar,R,69,155,0.278,46,22.89
Mickey Lolich,B,73,170,0.11,0,22.43
Ray Chadwick,B,74,180,0,0,23.11
Jack Heidemann,R,72,175,0.211,9,23.73
Rich Rollins,R,70,185,0.269,77,26.54
Walt Bond,L,79,228,0.256,41,25.68
Merv Rettenmund,R,70,190,0.271,66,27.26
Bryan Clutterbuck,R,76,223,0,0,27.14
Byron Browne,R,74,190,0.236,30,24.39
Hector Torres,R,72,175,0.216,18,23.73
Walt Williams,R,66,165,0.27,33,26.63
Jerry Koosman,R,74,205,0.119,2,26.32
Steve Lombardozzi,R,72,175,0.233,20,23.73
Joe Azcue,R,72,190,0.252,50,25.77
Elliott Maddox,R,71,180,0.261,18,25.10
Omar Moreno,L,74,180,0.252,37,23.11
Julian Javier,R,73,175,0.257,78,23.09
Tony Ferreira,L,73,160,0,0,21.11
Elio Chacon,R,69,160,0.232,4,23.63
Rusty Torres,B,70,175,0.212,35,25.11
John Stearns,R,72,185,0.26,46,25.09
Larry Brown,R,70,160,0.233,47,22.96
Tommy Dean,R,72,165,0.18,4,22.38
Bryan Oelkers,L,75,192,0,0,24.00
Kevin Bearse,L,74,195,0,0,25.03
Marty Martinez,B,72,170,0.243,0,23.05
Bruce Boisclair,L,74,185,0.263,10,23.75
Ken Singleton,B,76,210,0.282,246,25.56
Frank White,R,71,165,0.255,160,23.01
Jim Fairey,L,70,190,0.235,7,27.26
Jose Roman,R,72,175,0,0,23.73
Tom Brookens,R,70,165,0.246,71,23.67
Gary Thomasson,L,73,180,0.249,61,23.75
Mike Trujillo,R,73,180,0,0,23.75
Albert Williams,R,76,190,0,0,23.13
Oswaldo Peraza,R,76,172,0,0,20.93
Otto Velez,R,72,170,0.251,78,23.05
Tony Scott,B,72,164,0.249,17,22.24
Ray Oyler,R,71,165,0.175,15,23.01
Barry Cort,R,77,210,0,0,24.90
Floyd Robinson,L,69,175,0.283,67,25.84
Steve Jeltz,B,71,180,0.21,5,25.10
Lou Brock,L,71,170,0.293,149,23.71
Bill Wilkinson,R,70,160,0,0,22.96
Joe Lovitto,B,72,185,0.216,4,25.09
Mike Loynd,R,76,210,0,0,25.56
Wayne Comer,R,70,175,0.229,16,25.11
Dave Collins,B,71,175,0.272,32,24.40
Ed Spiezio,R,71,180,0.238,39,25.10
Rico Petrocelli,R,72,175,0.251,210,23.73
Johnny Lewis,L,73,189,0.227,22,24.93
Dick Simpson,R,76,176,0.207,15,21.42
Ken Boswell,L,72,170,0.248,31,23.05
Ken McMullen,R,75,190,0.248,156,23.75
Randy Scarbery,B,73,185,0,0,24.41
Steve Swisher,R,74,205,0.216,20,26.32
Ben Callahan,R,79,230,0,0,25.91
Dick Howser,R,68,155,0.248,16,23.57
Manny Castillo,B,69,160,0.242,3,23.63
Mike Ramsey,B,73,170,0.24,2,22.43
Willie Crawford,L,73,197,0.268,86,25.99
Bobby Cuellar,R,71,188,0,0,26.22
Willie Norwood,R,72,185,0.242,18,25.09
Mike Jones,L,78,215,0,0,24.84
Jeff Stone,L,72,175,0.277,11,23.73
Ramon Manon,R,72,150,0,0,20.34
Joe Lahoud,L,73,198,0.223,65,26.12
Tim Flannery,L,71,175,0.255,9,24.40
Dave McKay,B,73,195,0.229,21,25.72
John Trautwein,R,75,205,0,0,25.62
Andy Replogle,R,77,205,0,0,24.31
Zach Crouch,L,75,180,0,0,22.50
Benny Ayala,R,73,185,0.251,38,24.41
Ron Romanick,R,76,195,0,0,23.73
Greg Gross,L,70,160,0.287,7,22.96
Bruce Tanner,L,75,220,0,0,27.50
Sal Butera,R,72,190,0.227,8,25.77
Jack Brohamer,L,70,165,0.245,30,23.67
Von Joshua,L,70,170,0.273,30,24.39
Eddie Milner,L,71,173,0.253,42,24.13
Johnny Jeter,R,73,180,0.244,18,23.75
Angel Salazar,R,72,180,0.212,2,24.41
Tony Oliva,L,73,175,0.304,220,23.09
Cito Gaston,R,75,190,0.256,91,23.75
Cookie Rojas,R,70,160,0.263,54,22.96
Rich Morales,R,71,170,0.195,6,23.71
Dave Ford,R,76,190,0,0,23.13
Dan Ford,R,73,185,0.27,121,24.41
Barry Raziano,B,70,175,0,0,25.11
Darryl Motley,R,69,196,0.243,44,28.94
Ozzie Virgil,R,73,180,0.243,98,23.75
Johnny Oates,L,71,188,0.25,14,26.22
Pat Underwood,L,72,175,0,0,23.73
Mike Phillips,L,72,170,0.24,11,23.05
Ron Santo,R,72,190,0.277,342,25.77
Jay Johnstone,L,73,175,0.267,102,23.09
Jim Ray Hart,R,71,185,0.278,170,25.80
Marc Hill,R,75,205,0.223,34,25.62
Joel McKeon,L,72,185,0,0,25.09
Danny Fife,R,75,175,0,0,21.87
Chico Salmon,R,70,160,0.249,31,22.96
Joe Niekro,R,73,185,0.156,1,24.41
Andy Etchebarren,R,73,190,0.235,49,25.06
Ken Berry,R,72,175,0.255,58,23.73
Dave Concepcion,R,74,155,0.267,101,19.90
Junior Moore,R,71,185,0.264,7,25.80
Mike Richardt,R,72,170,0.226,4,23.05
Chris Brown,R,72,185,0.269,38,25.09
Al Bumbry,L,68,170,0.281,54,25.85
Al Downing,R,71,175,0.127,2,24.40
Bob Didier,B,72,190,0.229,0,25.77
Jake Gibbs,L,72,180,0.233,25,24.41
Garry Hancock,L,72,175,0.247,12,23.73
Ed Kranepool,L,75,205,0.261,118,25.62
Rick Rhoden,R,75,195,0.238,9,24.37
Denny McLain,R,73,185,0.133,1,24.41
Chuck Hiller,L,71,170,0.243,20,23.71
Jorge Orta,L,70,170,0.278,130,24.39
Dave Cash,R,71,170,0.283,21,23.71
Bucky Dent,R,69,170,0.247,40,25.10
Andy Beene,R,75,205,0,0,25.62
Bruce Robbins,L,73,190,0,0,25.06
Tony Gonzalez,L,69,170,0.286,103,25.10
Leon Hooten,R,71,180,0,0,25.10
Larry Haney,R,74,195,0.215,12,25.03
Billy Conigliaro,R,72,180,0.256,40,24.41
Gary Roenicke,R,75,205,0.247,121,25.62
Don Lock,R,74,195,0.238,122,25.03
Billy Cowan,R,72,170,0.236,40,23.05
Billy Smith,B,74,185,0.23,17,23.75
Allan Ramirez,R,70,180,0,0,25.82
Tony Perez,R,74,175,0.279,379,22.47
Chuck Schilling,R,70,160,0.239,23,22.96
Hal McRae,R,71,180,0.29,191,25.10
Dave Roberts,R,75,215,0.239,49,26.87
Brian Allard,R,73,175,0,0,23.09
Jim Lefebvre,B,72,180,0.251,74,24.41
Fernando Arroyo,R,74,180,0,0,23.11
Gary Beare,R,76,205,0,0,24.95
Charlie Spikes,R,75,215,0.246,65,26.87
Brian Dubois,L,70,165,0,0,23.67
Steve Whitaker,L,72,180,0.23,24,24.41
Manny Jimenez,L,73,185,0.272,26,24.41
Chris Batton,R,76,195,0,0,23.73
Duffy Dyer,R,72,187,0.221,30,25.36
Ken Henderson,B,74,180,0.257,122,23.11
Vance Lovelace,L,77,205,0,0,24.31
Greg Thayer,R,71,182,0,0,25.38
Vern Fuller,R,73,170,0.232,14,22.43
Paul Hartzell,R,77,200,0,0,23.71
Wayne Gross,L,74,210,0.233,121,26.96
Mike Champion,R,72,185,0.229,2,25.09
Ralph Botting,L,72,195,0,0,26.44
Paul Casanova,R,76,180,0.225,50,21.91
Steve Rogers,R,74,175,0.138,0,22.47
Keith Creel,R,74,180,0,0,23.11
Terry Crowley,L,72,180,0.25,42,24.41
Horace Clarke,B,69,170,0.256,27,25.10
Lou Clinton,R,73,185,0.247,65,24.41
Larry Cox,R,70,178,0.221,12,25.54
Nate Colbert,R,74,190,0.243,173,24.39
Phil Roof,R,74,190,0.215,43,24.39
Chuck Hinton,R,73,180,0.264,113,23.75
Tim Cullen,R,73,185,0.22,9,24.41
Tim Harkness,L,74,182,0.235,14,23.36
Rick Bosetti,R,71,185,0.25,17,25.80
Ron Pruitt,R,72,185,0.269,12,25.09
George Foster,R,73,180,0.274,348,23.75
Jerry White,B,70,164,0.253,21,23.53
Angel Mangual,R,70,178,0.245,22,25.54
Ken Gerhart,R,72,190,0.221,24,25.77
Mike Hershberger,R,70,175,0.252,26,25.11
Jim French,L,68,180,0.196,5,27.37
Dave Roberts,L,75,195,0.194,7,24.37
Jim Mason,L,74,185,0.203,12,23.75
Mike Smith,R,75,180,0,0,22.50
Willie Smith,L,72,182,0.248,46,24.68
T.R. Bryden,R,76,190,0,0,23.13
Jose Arcia,R,75,170,0.215,1,21.25
Leon Durham,L,73,185,0.277,147,24.41
Tom Makowski,R,71,185,0,0,25.80
Paul Householder,B,72,180,0.236,29,24.41
Aurelio Rodriguez,R,70,180,0.237,124,25.82
Jimmy Stewart,B,72,165,0.237,8,22.38
Dick Phillips,L,72,180,0.229,12,24.41
Andres Thomas,R,73,170,0.234,42,22.43
Ed Crosby,L,74,175,0.22,0,22.47
Mike de la Hoz,R,71,175,0.251,25,24.40
Frank Taveras,R,72,155,0.255,2,21.02
Joe Nossek,R,72,178,0.228,3,24.14
Larry Stahl,L,72,175,0.232,36,23.73
Jose Cruz,L,72,170,0.284,165,23.05
Don Mason,L,71,160,0.205,3,22.31
Bill Robinson,R,74,189,0.258,166,24.26
Jim Umbarger,L,78,200,0,0,23.11
Sal Bando,R,72,195,0.254,242,26.44
George Mitterwald,R,74,195,0.236,76,25.03
Mike Darr,R,76,190,0,0,23.13
Craig Robinson,R,70,165,0.219,0,23.67
Bob Tillman,R,76,205,0.232,79,24.95
Curt Wardle,L,77,220,0,0,26.09
Pat Corrales,R,72,180,0.216,4,24.41
Mike Tyson,R,69,170,0.241,27,25.10
Rafael Landestoy,B,70,165,0.237,4,23.67
Duane Josephson,R,72,190,0.258,23,25.77
Duane Walker,L,72,185,0.229,24,25.09
Glenn Hubbard,R,69,150,0.244,70,22.15
Roger Freed,R,72,190,0.245,22,25.77
George Hendrick,R,75,195,0.278,267,24.37
Rod Carew,L,72,170,0.328,92,23.05
Bob Davis,R,72,180,0.197,6,24.41
Toby Harrah,R,72,175,0.264,195,23.73
Rick Manning,L,73,180,0.257,56,23.75
Israel Sanchez,L,69,170,0,0,25.10
Steve Burke,B,74,200,0,0,25.68
Gary Matthews,R,74,185,0.281,234,23.75
Cesar Geronimo,L,72,165,0.258,51,22.38
Billy Bryan,L,76,200,0.216,41,24.34
Terry Taylor,R,73,180,0,0,23.75
Terry Whitfield,L,73,197,0.281,33,25.99
Mario Mendoza,R,71,170,0.215,4,23.71
Fred Lynn,L,73,185,0.283,306,24.41
Larry Hisle,R,74,193,0.273,166,24.78
Graig Nettles,L,72,180,0.248,390,24.41
Randy Nosek,R,76,215,0,0,26.17
Dave Engle,R,75,210,0.262,31,26.25
Narciso Elvira,L,70,160,0,0,22.96
Mike Easler,L,72,190,0.293,118,25.77
Mark Smith,R,74,215,0,0,27.60
Paul Mitchell,R,73,195,0,0,25.72
Rick Sweet,B,73,200,0.234,6,26.38
Thurman Munson,R,71,190,0.292,113,26.50
Rick Monday,L,75,193,0.264,241,24.12
Mike Sadek,R,69,165,0.226,5,24.36
Mark Belanger,R,73,170,0.228,20,22.43
Ron Hunt,R,72,186,0.273,39,25.22
Joe Keough,L,72,185,0.246,9,25.09
Butch Edge,R,75,203,0,0,25.37
Vic Correll,R,70,185,0.229,29,26.54
Jackie Hernandez,R,71,165,0.208,12,23.01
Tony Solaita,L,72,210,0.255,50,28.48
U L Washington,B,71,175,0.251,27,24.40
Gary Mielke,R,75,185,0,0,23.12
Rick Henninger,R,78,225,0,0,26.00
Joe Foy,R,72,215,0.248,58,29.16
Ed Goodson,L,75,180,0.26,30,22.50
Mark Brown,B,74,190,0,0,24.39
Mickey Klutts,R,71,170,0.241,14,23.71
Leroy Stanton,R,73,195,0.244,77,25.72
Rafael Vasquez,R,72,160,0,0,21.70
Len Whitehouse,L,71,175,0,0,24.40
Danny Ainge,R,76,175,0.22,2,21.30
Adolfo Phillips,R,73,175,0.247,59,23.09
Marv Breeding,R,72,175,0.25,7,23.73
Steve Adkins,R,78,210,0,0,24.27
Dick McAuliffe,L,71,176,0.247,197,24.54
Joe Horlen,R,72,170,0.134,0,23.05
Glenn Burke,R,72,195,0.237,2,26.44
Tony Mack,R,70,177,0,0,25.39
Terry Humphrey,R,75,185,0.211,6,23.12
Bill Moran,R,76,210,0,0,25.56
Enzo Hernandez,R,68,155,0.224,2,23.57
Cesar Gutierrez,R,69,155,0.235,0,22.89
Coco Laboy,R,70,165,0.233,28,23.67
Ted Kubiak,B,72,175,0.231,13,23.73
Jim Morrison,R,71,175,0.26,112,24.40
Tom Gilles,R,73,185,0,0,24.41
Bobby Knoop,R,73,170,0.236,56,22.43
Bobby Brown,B,74,190,0.245,26,24.39
Tom Hutton,L,71,180,0.248,22,25.10
Ron Hodges,L,73,185,0.24,19,24.41
Rich Chiles,L,71,170,0.254,6,23.71
Tom Paciorek,R,76,215,0.282,86,26.17
Gary Woods,R,74,185,0.243,13,23.75
Bob Montgomery,R,73,195,0.258,23,25.72
Jeff Burroughs,R,73,200,0.261,240,26.38
Rusty Staub,L,74,190,0.279,292,24.39
Jim Norris,L,70,175,0.264,7,25.11
Oscar Gamble,L,71,160,0.265,200,22.31
Bob Kammeyer,R,76,210,0,0,25.56
George Vukovich,L,72,198,0.268,27,26.85
Joe Pactwa,L,71,185,0,0,25.80
Craig Reynolds,L,73,175,0.256,42,23.09
Paul Blair,R,72,168,0.25,134,22.78
Al Cowens,R,73,197,0.27,108,25.99
Al Oliver,L,72,195,0.303,219,26.44
Dave Hilton,R,71,191,0.213,6,26.64
Luis Alvarado,R,69,162,0.214,5,23.92
Larry Parrish,R,75,190,0.263,256,23.75
Woodie Fryman,R,75,197,0.138,2,24.62
Bob Randall,R,74,175,0.257,1,22.47
Jim Pankovits,R,70,170,0.25,9,24.39
Sherman Corbett,L,76,205,0,0,24.95
Carmen Fanzone,R,72,200,0.224,20,27.12
Gary Allenson,R,71,185,0.221,19,25.80
Milt May,L,72,190,0.263,77,25.77
Mike Vail,R,73,180,0.279,34,23.75
Nick Esasky,R,75,200,0.25,122,25.00
Jim Nettles,L,72,186,0.22,16,25.22
Lafayette Currence,B,71,175,0,0,24.40
Chris Cannizzaro,R,72,190,0.235,18,25.77
Larry Biittner,L,74,205,0.273,29,26.32
John Pawlowski,R,74,175,0,0,22.47
Mel Stottlemyre,R,73,178,0.16,7,23.48
Jack Hardy,R,74,175,0,0,22.47
Ron Musselman,R,74,185,0,0,23.75
Roy Smalley,B,73,185,0.257,163,24.41
Tony Chevez,R,71,177,0,0,24.68
Andy Messersmith,R,73,200,0.17,5,26.38
Richie Zisk,R,73,200,0.287,207,26.38
Dave Chalk,R,70,175,0.252,15,25.11
Don Baylor,R,73,190,0.26,338,25.06
John Vukovich,R,73,187,0.161,6,24.67
Danny Thompson,R,72,183,0.248,15,24.82
Joe Simpson,L,75,175,0.242,9,21.87
Bill Fahey,L,72,200,0.241,7,27.12
Doug Camilli,R,71,195,0.199,18,27.19
Bernie Allen,L,72,175,0.239,73,23.73
Bruce Bochy,R,75,205,0.239,26,25.62
Gary Ignasiak,R,71,185,0,0,25.80
Claudell Washington,L,72,190,0.278,164,25.77
John Donaldson,L,71,160,0.238,4,22.31
Mike Smithson,L,80,215,0,0,23.62
John Mayberry,L,75,215,0.253,255,26.87
Ken Reitz,R,72,180,0.26,68,24.41
Amos Otis,R,71,165,0.277,193,23.01
Gene Alley,R,70,160,0.254,55,22.96
Ted Sizemore,R,70,165,0.262,23,23.67
Dan Briggs,L,72,180,0.195,12,24.41
Joe Skalski,R,75,190,0,0,23.75
Doug Flynn,R,71,165,0.238,7,23.01
Bert Bradley,B,73,190,0,0,25.06
Ken Holtzman,R,74,175,0.163,2,22.47
Pete Ward,L,73,185,0.254,98,24.41
Kevin Bell,R,72,195,0.222,13,26.44
Tom Nieto,R,73,193,0.205,5,25.46
Duke Sims,L,74,197,0.239,100,25.29
Larvell Blanks,R,68,167,0.253,20,25.39
Francisco Barrios,R,71,155,0,0,21.62
Mike Davis,L,74,175,0.259,91,22.47
Jerry Reuss,L,77,200,0.167,1,23.71
Steve Yeager,R,72,190,0.228,102,25.77
Danny Goodwin,L,73,195,0.236,13,25.72
Bud Harrelson,B,71,160,0.236,7,22.31
Bob Knepper,L,75,195,0.137,6,24.37
Mickey Rivers,L,70,165,0.295,61,23.67
Jim Northrup,L,75,190,0.267,153,23.75
John Hale,L,74,195,0.201,14,25.03
Reggie Ritter,L,74,195,0,0,25.03
Pedro Garcia,R,70,175,0.22,37,25.11
Carl Yastrzemski,L,71,175,0.285,452,24.40
Bob Babcock,R,77,210,0,0,24.90
Craig Eaton,R,71,175,0,0,24.40
Derrel Thomas,B,72,160,0.249,43,21.70
Art Howe,R,74,190,0.26,43,24.39
Ike Brown,R,72,190,0.256,20,25.77
Howie Goss,R,76,204,0.216,11,24.83
Glenn Borgmann,R,76,210,0.229,16,25.56
Lamar Johnson,R,74,215,0.287,64,27.60
Julio Gonzalez,R,71,162,0.235,4,22.59
Bobby Klaus,R,70,170,0.208,6,24.39
Manny Sanguillen,R,72,193,0.296,65,26.17
Gates Brown,L,71,220,0.257,84,30.68
Johnny Ray,B,71,170,0.29,53,23.71
Jesus Alou,R,74,190,0.28,32,24.39
Ken Landreaux,L,70,165,0.268,91,23.67
Enos Cabell,R,76,170,0.277,60,20.69
Roy Branch,R,72,175,0,0,23.73
Billy North,B,71,185,0.261,20,25.80
Juan Beniquez,R,71,150,0.274,79,20.92
Frank Fernandez,R,72,185,0.199,39,25.09
Bombo Rivera,R,70,187,0.265,10,26.83
Steve Brye,R,72,190,0.258,30,25.77
Ron Jackson,R,72,200,0.259,56,27.12
Roger Metzger,B,72,165,0.231,5,22.38
Rufino Linares,R,72,170,0.27,11,23.05
Ray Webster,L,72,185,0.244,17,25.09
Bob Kearney,R,72,190,0.233,27,25.77
Fergie Jenkins,R,77,205,0.165,13,24.31
Dick Dietz,R,73,195,0.261,66,25.72
Ted Cox,R,75,195,0.245,10,24.37
Bobby Mitchell,L,70,170,0.243,3,24.39
Bobby Mitchell,R,75,185,0.235,21,23.12
Barry Evans,R,73,180,0.251,2,23.75
Mickey Brantley,R,70,180,0.259,32,25.82
Al Gallagher,R,72,180,0.263,11,24.41
Rob Woodward,R,75,185,0,0,23.12
Hector Cruz,R,71,170,0.225,39,23.71
Fred Norman,B,68,155,0.125,0,23.57
Woody Woodward,R,74,180,0.236,1,23.11
Ted Martinez,R,72,165,0.24,7,22.38
Jim Anderson,R,72,170,0.218,13,23.05
Lenn Sakata,R,69,160,0.23,25,23.63
Dave Duncan,R,74,190,0.214,109,24.39
Randy Jones,R,72,178,0.132,0,24.14
Dick Billings,R,73,195,0.227,16,25.72
Bob Veselic,R,72,175,0,0,23.73
Bruce Bochte,L,75,195,0.282,100,24.37
Bernie Carbo,L,71,173,0.264,96,24.13
Vic Davalillo,L,67,150,0.279,36,23.49
Burt Hooton,R,73,210,0.123,4,27.70
Chuck Hockenbery,B,73,195,0,0,25.72
Bob Ferris,R,78,225,0,0,26.00
Fernando Gonzalez,R,70,165,0.235,17,23.67
Jim Sundberg,R,72,190,0.248,95,25.77
Andy Kosco,R,75,205,0.236,73,25.62
Steve Huntz,B,73,204,0.206,16,26.91
Gary Wheelock,R,75,205,0,0,25.62
Lenny Faedo,R,72,170,0.251,5,23.05
John Lowenstein,L,72,175,0.253,116,23.73
Don Kessinger,B,73,170,0.252,14,22.43
Joe Hague,L,72,195,0.239,40,26.44
Bake McBride,L,74,190,0.299,63,24.39
Dick Davis,R,75,190,0.265,27,23.75
Richie Scheinblum,B,73,180,0.263,13,23.75
Ed Herrmann,L,73,195,0.24,80,25.72
Mike Rochford,L,76,205,0,0,24.95
Jeff Schneider,B,75,195,0,0,24.37
Bob Molinaro,L,72,190,0.264,14,25.77
Mike Hegan,L,73,188,0.242,53,24.80
Mike Diaz,R,74,195,0.247,31,25.03
Tim Foli,R,72,179,0.251,25,24.27
Alan Knicely,R,72,190,0.213,12,25.77
Tim Laudner,R,75,212,0.225,77,26.50
Jose Morales,R,71,187,0.287,26,26.08
Luis Encarnacion,R,70,178,0,0,25.54
Rick Kreuger,R,74,185,0,0,23.75
Juan Marichal,R,72,185,0.165,4,25.09
Vida Blue,B,72,189,0.104,4,25.63
Angel Moreno,L,69,165,0,0,24.36
Roger Weaver,R,75,190,0,0,23.75
Stan Papi,R,72,170,0.218,7,23.05
Rob Wilfong,L,73,180,0.248,39,23.75
Chris Knapp,R,77,195,0,0,23.12
Steve Henderson,R,74,190,0.28,68,24.39
Rob Picciolo,R,74,185,0.234,17,23.75
Don Welchel,R,76,205,0,0,24.95
Randy Wiles,L,73,185,0,0,24.41
Roberto Pena,R,68,170,0.245,13,25.85
Bob Dernier,R,72,160,0.255,23,21.70
Bill Melton,R,74,200,0.253,160,25.68
Albert Hall,B,71,155,0.251,5,21.62
Barbaro Garbey,R,70,170,0.267,11,24.39
John Milner,L,72,185,0.249,131,25.09
Rich Reese,L,75,185,0.253,52,23.12
Chris Bando,B,72,195,0.227,27,26.44
Bill Buckner,L,72,185,0.289,174,25.09
Jack Hiatt,R,74,190,0.251,22,24.39
Nelson Mathews,R,76,195,0.223,22,23.73
Larry Lintz,B,69,150,0.227,0,22.15
Ron Theobald,R,68,165,0.248,2,25.09
Dewey Robinson,R,72,180,0,0,24.41
Rafael Santana,R,73,165,0.246,13,21.77
Jerry Hairston,B,70,170,0.258,30,24.39
Tony Arnold,R,71,170,0,0,23.71
Jeff Schattinger,L,77,200,0,0,23.71
Ike Brookens,R,77,170,0,0,20.16
Tommie Aaron,R,75,190,0.229,13,23.75
Steve Dillard,R,73,180,0.243,13,23.75
Win Remmerswaal,R,74,160,0,0,20.54
Jeff Peterek,R,74,195,0,0,25.03
George Scott,R,74,200,0.268,271,25.68
Jeff Shaver,R,75,195,0,0,24.37
Ken Walters,R,73,180,0.231,11,23.75
Gorman Thomas,R,74,210,0.225,268,26.96
Paul Dade,R,73,185,0.27,10,24.41
Darrell Porter,L,72,193,0.247,188,26.17
Tim Johnson,L,73,170,0.223,0,22.43
Fred Stanley,R,70,165,0.216,10,23.67
Larry Bowa,B,70,155,0.26,15,22.24
Tim Corcoran,L,71,175,0.27,12,24.40
Jim Spencer,L,74,195,0.25,146,25.03
Pete LaCock,L,74,200,0.257,27,25.68
Carl Morton,R,72,200,0.156,7,27.12
Gary Gray,R,72,187,0.24,24,25.36
Matty Alou,L,69,160,0.307,31,23.63
Pete Filson,B,74,195,0,0,25.03
Jim Dwyer,L,70,165,0.26,77,23.67
Dalton Jones,L,73,180,0.235,41,23.75
Rennie Stennett,R,71,160,0.274,41,22.31
Jim Gideon,R,75,190,0,0,23.75
Jerry May,R,74,190,0.234,15,24.39
Rich McKinney,R,71,185,0.225,20,25.80
Clint Hurdle,L,75,195,0.259,32,24.37
Mike Andrews,R,75,195,0.258,66,24.37
Bobby Clark,R,72,190,0.239,19,25.77
Jeff Twitty,L,74,185,0,0,23.75
Cliff Johnson,R,76,215,0.258,196,26.17
Steve Cummings,B,74,200,0,0,25.68
Donn Clendenon,R,76,209,0.274,159,25.44
Charlie James,R,73,195,0.255,29,25.72
Bob Horner,R,73,195,0.277,218,25.72
Tom Veryzer,R,73,175,0.241,14,23.09
Jose Cecena,R,71,180,0,0,25.10
George Smith,R,70,170,0.205,9,24.39
Jim Essian,R,74,195,0.244,33,25.03
Onix Concepcion,R,66,160,0.239,3,25.82
Boots Day,L,69,160,0.256,8,23.63
Brian Giles,R,73,165,0.228,10,21.77
Garry Maddox,R,75,175,0.285,117,21.87
Alex Trevino,R,70,165,0.249,23,23.67
Jim Price,R,72,192,0.214,18,26.04
Felix Millan,R,71,172,0.279,22,23.99
Steve Garvey,R,70,192,0.294,272,27.55
Don Mincher,L,75,205,0.249,200,25.62
Greg Erardi,R,73,190,0,0,25.06
Jim Farr,R,73,195,0,0,25.72
Tony Cloninger,R,72,210,0.192,11,28.48
Jim Gosger,L,71,185,0.226,30,25.80
Chuck Harrison,R,70,185,0.238,17,26.54
Mike Ivie,R,75,205,0.269,81,25.62
Frank Dimichele,R,75,205,0,0,25.62
Bob Veale,B,78,212,0.114,0,24.50
Marvell Wynne,L,71,175,0.247,40,24.40
Dusty Baker,R,74,183,0.278,242,23.49
Tucker Ashford,R,73,195,0.218,6,25.72
